alluvial	p25	p28	Prop
1	Do not support	Do not support	0.3782208
2	Do not support	Neutral	0.1057613
3	Do not support	Support	0.4210496
4	Do not support	DK/RA	0.0949683
5	Neutral	Do not support	0.2239577
6	Neutral	Neutral	0.5113168
7	Neutral	Support	0.1510266
8	Neutral	DK/RA	0.1136989
9	Support	Do not support	0.5831454
10	Support	Neutral	0.1730837
11	Support	Support	0.1583162
12	Support	DK/RA	0.0854546
13	DK/RA	Do not support	0.0591837
14	DK/RA	Neutral	0.0283052
15	DK/RA	Support	0.1266377
16	DK/RA	DK/RA	0.7858734